Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:05 |       52.34% |       55.33% |       1.7953 |       3.8794 |          0.0010 |
|       5 |          30 |       00:01:26 |       85.94% |       71.33% |       1.9450 |       2.8769 |          0.0010 |
|       9 |          50 |       00:02:21 |       82.81% |              |       1.7630 |              |          0.0010 |
|      10 |          60 |       00:02:49 |       77.34% |       82.67% |       2.9103 |       1.9034 |          0.0010 |
|      15 |          90 |       00:04:12 |       71.88% |       78.67% |       2.9303 |       2.3007 |          0.0010 |
|      17 |         100 |       00:04:39 |       75.78% |              |       2.8236 |              |          0.0010 |
|      20 |         120 |       00:05:35 |       76.56% |       84.00% |       3.0996 |       1.8142 |          0.0010 |
|      25 |         150 |       00:06:58 |       81.25% |       79.33% |       2.5773 |       2.0850 |          0.0010 |
|      30 |         180 |       00:08:21 |       82.03% |       83.33% |       1.9573 |       1.4835 |          0.0010 |
|      34 |         200 |       00:09:16 |       82.03% |              |       2.3759 |              |          0.0010 |
|      35 |         210 |       00:09:46 |       89.06% |       76.00% |       0.9708 |       3.1201 |          0.0010 |
|      40 |         240 |       00:11:09 |       82.03% |       79.33% |       1.8169 |       2.0907 |          0.0010 |
|      42 |         250 |       00:11:37 |       77.34% |              |       2.8621 |              |          0.0010 |
|      45 |         270 |       00:12:32 |       82.03% |       76.67% |       1.6188 |       3.1490 |          0.0010 |
|      50 |         300 |       00:13:54 |       81.25% |       82.00% |       1.9565 |       1.9822 |          0.0010 |
|      55 |         330 |       00:15:17 |       82.81% |       82.00% |       1.8561 |       1.9033 |          0.0010 |
|      59 |         350 |       00:16:11 |       84.38% |              |       1.6196 |              |          0.0010 |
|      60 |         360 |       00:16:39 |       90.63% |       78.67% |       0.8926 |       2.3565 |          0.0010 |
|      65 |         390 |       00:18:02 |       87.50% |       86.00% |       1.5724 |       1.7292 |          0.0010 |
|      67 |         400 |       00:18:29 |       87.50% |              |       1.1751 |              |          0.0010 |
|      70 |         420 |       00:19:24 |       92.97% |       77.33% |       0.8256 |       2.6371 |          0.0010 |
|      75 |         450 |       00:20:48 |       86.72% |       80.67% |       1.1945 |       2.3828 |          0.0010 |
