Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|      80 |         480 |       00:22:11 |       89.84% |       79.33% |       0.7939 |       2.7716 |          0.0010 |
|      84 |         500 |       00:23:06 |       86.72% |              |       1.2223 |              |          0.0010 |
|      85 |         510 |       00:23:34 |       89.84% |       83.33% |       0.7484 |       2.1845 |          0.0010 |
|      90 |         540 |       00:24:57 |       91.41% |       86.00% |       0.8036 |       1.3966 |          0.0010 |
|      92 |         550 |       00:25:24 |       87.50% |              |       1.8264 |              |          0.0010 |
|      95 |         570 |       00:26:19 |       92.97% |       84.00% |       0.6969 |       1.8414 |          0.0010 |
|     100 |         600 |       00:27:42 |       83.59% |       82.67% |       1.6316 |       1.8311 |          0.0010 |
|     105 |         630 |       00:29:04 |       83.59% |       82.00% |       2.0006 |       1.9666 |          0.0010 |
|     109 |         650 |       00:29:58 |       88.28% |              |       1.1135 |              |          0.0010 |
|     110 |         660 |       00:30:27 |       90.63% |       86.67% |       1.2300 |       1.5146 |          0.0010 |
|     115 |         690 |       00:31:50 |       89.06% |       83.33% |       0.8930 |       1.5373 |          0.0010 |
|     117 |         700 |       00:32:17 |       90.63% |              |       0.8153 |              |          0.0010 |
|     120 |         720 |       00:33:12 |       84.38% |       88.00% |       1.6673 |       1.4051 |          0.0010 |
|     125 |         750 |       00:34:34 |       89.84% |       88.00% |       0.7079 |       1.3997 |          0.0010 |
|     130 |         780 |       00:35:57 |       85.16% |       80.67% |       1.6204 |       1.9032 |          0.0010 |
|     134 |         800 |       00:36:51 |       91.41% |              |       0.8345 |              |          0.0010 |
|     135 |         810 |       00:37:19 |       92.19% |       84.67% |       0.6759 |       1.3665 |          0.0010 |
|     140 |         840 |       00:38:41 |       89.06% |       83.33% |       1.1604 |       1.3621 |          0.0010 |
|     142 |         850 |       00:39:08 |       90.63% |              |       1.0584 |              |          0.0010 |
|     145 |         870 |       00:40:03 |       90.63% |       86.67% |       0.7781 |       1.3700 |          0.0010 |
|     150 |         900 |       00:41:27 |       91.41% |       86.00% |       0.7356 |       1.4237 |          0.0010 |
|     155 |         930 |       00:42:49 |       94.53% |       84.67% |       0.3647 |       1.4073 |          0.0010 |
|     159 |         950 |       00:43:44 |       93.75% |              |       0.6426 |              |          0.0010 |
|     160 |         960 |       00:44:12 |       93.75% |       82.67% |       0.6565 |       1.8583 |          0.0010 |
|     165 |         990 |       00:45:34 |       92.19% |       84.67% |       0.8076 |       1.7175 |          0.0010 |
|     167 |        1000 |       00:46:01 |       90.63% |              |       0.6415 |              |          0.0010 |
|     170 |        1020 |       00:46:57 |       86.72% |       84.67% |       1.3128 |       1.6400 |          0.0010 |
|     175 |        1050 |       00:48:19 |       89.06% |       88.00% |       1.2161 |       1.3013 |          0.0010 |
|     180 |        1080 |       00:49:42 |       96.88% |       86.67% |       0.1218 |       1.3055 |          0.0010 |
|     184 |        1100 |       00:50:36 |       96.09% |              |       0.1985 |              |          0.0010 |
|     185 |        1110 |       00:51:04 |       92.19% |       85.33% |       0.6911 |       1.4667 |          0.0010 |
|     190 |        1140 |       00:52:28 |       94.53% |       86.67% |       0.5074 |       1.3944 |          0.0010 |
|     192 |        1150 |       00:52:55 |       96.09% |              |       0.2863 |              |          0.0010 |
|     195 |        1170 |       00:53:50 |       96.09% |       85.33% |       0.2446 |       1.5917 |          0.0010 |
|     200 |        1200 |       00:55:14 |       94.53% |       84.67% |       0.5313 |       1.4869 |          0.0010 |
|     205 |        1230 |       00:56:36 |       96.09% |       82.00% |       0.4081 |       2.1447 |          0.0010 |
|     209 |        1250 |       00:57:30 |       94.53% |              |       0.6716 |              |          0.0010 |
|     210 |        1260 |       00:57:58 |       97.66% |       85.33% |       0.1872 |       1.6033 |          0.0010 |
|     215 |        1290 |       00:59:20 |       97.66% |       88.67% |       0.2337 |       1.2914 |          0.0010 |
|     217 |        1300 |       00:59:47 |       95.31% |              |       0.3313 |              |          0.0010 |
|     220 |        1320 |       01:00:42 |       89.06% |       84.00% |       0.9419 |       1.7434 |          0.0010 |
|     225 |        1350 |       01:02:06 |       95.31% |       87.33% |       0.4576 |       1.4338 |          0.0010 |
|     230 |        1380 |       01:03:29 |       94.53% |       84.67% |       0.3137 |       1.5190 |          0.0010 |
|     234 |        1400 |       01:04:23 |       92.19% |              |       0.8224 |              |          0.0010 |
|     235 |        1410 |       01:04:52 |       96.09% |       86.00% |       0.3264 |       1.5355 |          0.0010 |
|     240 |        1440 |       01:06:14 |       93.75% |       87.33% |       0.5419 |       1.4289 |          0.0010 |
|     242 |        1450 |       01:06:42 |       97.66% |              |       0.1844 |              |          0.0010 |
|     245 |        1470 |       01:07:37 |       97.66% |       85.33% |       0.3492 |       1.9142 |          0.0010 |
|     250 |        1500 |       01:08:59 |       94.53% |       87.33% |       0.2678 |       1.3368 |          0.0010 |
|     255 |        1530 |       01:10:22 |       91.41% |       88.00% |       0.4964 |       1.3709 |          0.0010 |
|     259 |        1550 |       01:11:16 |       93.75% |              |       0.5715 |              |          0.0010 |
|     260 |        1560 |       01:11:44 |       96.88% |       84.00% |       0.2056 |       1.5631 |          0.0010 |
|     265 |        1590 |       01:13:08 |       92.97% |       86.67% |       0.7488 |       1.0111 |          0.0010 |
|     267 |        1600 |       01:13:35 |       95.31% |              |       0.3527 |              |          0.0010 |
|     270 |        1620 |       01:14:30 |       94.53% |       89.33% |       0.4151 |       1.2144 |          0.0010 |
|     275 |        1650 |       01:16:01 |       92.97% |       86.67% |       0.4888 |       1.4485 |          0.0010 |
|     280 |        1680 |       01:17:23 |       97.66% |       86.00% |       0.1287 |       1.4739 |          0.0010 |
|     284 |        1700 |       01:18:17 |       96.09% |              |       0.2383 |              |          0.0010 |
|     285 |        1710 |       01:18:45 |       94.53% |       86.00% |       0.4869 |       1.3759 |          0.0010 |
|     290 |        1740 |       01:20:08 |       92.97% |       87.33% |       0.6018 |       1.6050 |          0.0010 |
|     292 |        1750 |       01:20:35 |       96.88% |              |       0.1754 |              |          0.0010 |
|     295 |        1770 |       01:21:30 |       95.31% |       87.33% |       0.3073 |       1.6297 |          0.0010 |
|     300 |        1800 |       01:22:52 |       99.22% |       86.67% |       0.0290 |       1.5190 |          0.0010 |
|     305 |        1830 |       01:24:16 |       96.09% |       86.67% |       0.3805 |       1.1420 |          0.0010 |
|     309 |        1850 |       01:25:11 |       94.53% |              |       0.5467 |              |          0.0010 |
|     310 |        1860 |       01:25:39 |       98.44% |       86.67% |       0.0837 |       1.4878 |          0.0010 |
|     315 |        1890 |       01:27:01 |       96.09% |       87.33% |       0.3283 |       1.2331 |          0.0010 |
|     317 |        1900 |       01:27:28 |       92.19% |              |       0.6574 |              |          0.0010 |
|     320 |        1920 |       01:28:24 |       98.44% |       90.00% |       0.0306 |       1.0782 |          0.0010 |
|     325 |        1950 |       01:29:46 |       99.22% |       88.00% |       0.0483 |       1.5316 |          0.0010 |
|     330 |        1980 |       01:31:09 |       99.22% |       88.00% |       0.0364 |       1.4000 |          0.0010 |
|     334 |        2000 |       01:32:03 |       96.88% |              |       0.1707 |              |          0.0010 |
|     335 |        2010 |       01:32:31 |       97.66% |       88.00% |       0.1967 |       1.2978 |          0.0010 |
|     340 |        2040 |       01:33:55 |       95.31% |       88.67% |       0.3728 |       1.3060 |          0.0010 |
|     342 |        2050 |       01:34:22 |       97.66% |              |       0.1189 |              |          0.0010 |
|     345 |        2070 |       01:35:18 |       98.44% |       90.67% |       0.0781 |       1.1136 |          0.0010 |
|     350 |        2100 |       01:36:40 |       96.88% |       83.33% |       0.1832 |       1.5103 |          0.0010 |
|     355 |        2130 |       01:38:02 |       94.53% |       86.00% |       0.6076 |       1.5974 |          0.0010 |
|     359 |        2150 |       01:38:57 |       97.66% |              |       0.1515 |              |          0.0010 |
|     360 |        2160 |       01:39:25 |       98.44% |       87.33% |       0.0229 |       1.2557 |          0.0010 |
|     365 |        2190 |       01:40:48 |       94.53% |       85.33% |       0.4068 |       1.6811 |          0.0010 |
|     367 |        2200 |       01:41:15 |       96.09% |              |       0.2180 |              |          0.0010 |
|     370 |        2220 |       01:42:10 |       96.88% |       86.67% |       0.2065 |       1.3393 |          0.0010 |
|     375 |        2250 |       01:43:32 |       96.09% |       86.67% |       0.3699 |       1.3751 |          0.0010 |
|     380 |        2280 |       01:44:57 |       96.88% |       86.67% |       0.2258 |       1.1730 |          0.0010 |
|     384 |        2300 |       01:45:51 |       97.66% |              |       0.1338 |              |          0.0010 |
|     385 |        2310 |       01:46:19 |       98.44% |       86.67% |       0.2090 |       1.3576 |          0.0010 |
|     390 |        2340 |       01:47:42 |       98.44% |       86.00% |       0.0710 |       1.3306 |          0.0010 |
|     392 |        2350 |       01:48:10 |       97.66% |              |       0.1576 |              |          0.0010 |
|     395 |        2370 |       01:49:05 |       99.22% |       88.67% |       0.0472 |       1.1949 |          0.0010 |
|     400 |        2400 |       01:50:28 |       98.44% |       88.00% |       0.2050 |       1.3664 |          0.0010 |
|     405 |        2430 |       01:51:50 |       96.09% |       87.33% |       0.3772 |       1.5160 |          0.0010 |
|     409 |        2450 |       01:52:44 |       97.66% |              |       0.2712 |              |          0.0010 |
|     410 |        2460 |       01:53:12 |       97.66% |       88.00% |       0.1476 |       1.3086 |          0.0010 |
|     415 |        2490 |       01:54:36 |       95.31% |       85.33% |       0.4480 |       1.6987 |          0.0010 |
|     417 |        2500 |       01:55:04 |       98.44% |              |       0.0954 |              |          0.0010 |
|     420 |        2520 |       01:56:00 |       97.66% |       89.33% |       0.0607 |       1.0580 |          0.0010 |
|     425 |        2550 |       01:57:22 |      100.00% |       84.67% |       0.0037 |       1.2808 |          0.0010 |
|     430 |        2580 |       01:58:45 |       96.88% |       86.67% |       0.3206 |       1.3276 |          0.0010 |
|     434 |        2600 |       01:59:39 |       97.66% |              |       0.0571 |              |          0.0010 |
|     435 |        2610 |       02:00:07 |       98.44% |       90.00% |       0.1586 |       1.2296 |          0.0010 |
|     440 |        2640 |       02:01:30 |       94.53% |       87.33% |       0.2838 |       1.2800 |          0.0010 |
|     442 |        2650 |       02:01:57 |       97.66% |              |       0.1378 |              |          0.0010 |
|     445 |        2670 |       02:02:52 |      100.00% |       88.00% |       0.0004 |       1.2737 |          0.0010 |
|     450 |        2700 |       02:04:15 |       98.44% |       88.00% |       0.0387 |       1.5034 |          0.0010 |
|     455 |        2730 |       02:05:39 |       98.44% |       90.67% |       0.0201 |       1.0574 |          0.0010 |
|     459 |        2750 |       02:06:33 |       99.22% |              |       0.0156 |              |          0.0010 |
|     460 |        2760 |       02:07:02 |       95.31% |       89.33% |       0.3072 |       1.2388 |          0.0010 |
|     465 |        2790 |       02:08:24 |       99.22% |       89.33% |       0.0079 |       1.1651 |          0.0010 |
|     467 |        2800 |       02:08:51 |      100.00% |              |       0.0002 |              |          0.0010 |
|     470 |        2820 |       02:09:46 |       99.22% |       86.67% |       0.0246 |       1.5260 |          0.0010 |
|     475 |        2850 |       02:11:09 |       99.22% |       86.67% |       0.0823 |       1.6078 |          0.0010 |
|     480 |        2880 |       02:12:31 |       97.66% |       87.33% |       0.1069 |       1.2721 |          0.0010 |
|     484 |        2900 |       02:13:25 |      100.00% |              |       0.0030 |              |          0.0010 |
|     485 |        2910 |       02:13:53 |       98.44% |       88.67% |       0.1143 |       1.2117 |          0.0010 |
|     490 |        2940 |       02:15:16 |       97.66% |       88.67% |       0.2325 |       1.4361 |          0.0010 |
|     492 |        2950 |       02:15:45 |       96.88% |              |       0.2728 |              |          0.0010 |
|     495 |        2970 |       02:16:41 |       97.66% |       88.67% |       0.1674 |       1.3969 |          0.0010 |
|     500 |        3000 |       02:18:03 |       99.22% |       84.00% |       0.1337 |       1.5053 |          0.0010 |
|======================================================================================================================|
