Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     220 |        1320 |       01:10:24 |       95.31% |       88.67% |       0.3132 |       1.1692 |          0.0010 |
|     225 |        1350 |       01:12:07 |       92.19% |       86.67% |       0.5808 |       1.1096 |          0.0010 |
|     230 |        1380 |       01:13:42 |       93.75% |       86.67% |       0.5845 |       1.3260 |          0.0010 |
|     234 |        1400 |       01:14:48 |       94.53% |              |       0.5188 |              |          0.0010 |
|     235 |        1410 |       01:15:21 |       96.09% |       86.00% |       0.2484 |       1.3643 |          0.0010 |
|     240 |        1440 |       01:16:59 |       92.97% |       86.67% |       0.4924 |       1.2528 |          0.0010 |
|     242 |        1450 |       01:17:34 |       92.19% |              |       0.8339 |              |          0.0010 |
|     245 |        1470 |       01:18:42 |       87.50% |       84.00% |       1.0055 |       1.7335 |          0.0010 |
|     250 |        1500 |       01:20:19 |       94.53% |       88.00% |       0.2803 |       0.9943 |          0.0010 |
|======================================================================================================================|
